player_name,player_display_name,position,ros_projected_points,weeks_remaining,avg_weekly_projection,opponents,projected_points,last_week_played,last_season_played,avg_last_3_games,injury_status,injury_multiplier,overall_rank,position_rank
C.Loveland,Colston Loveland,TE,79.21064758300781,8,9.901330947875977,"MIN,PIT,PHI,GB,CLE,GB,SF,DET",9.901330947875977,9.0,2025.0,5.1000000000000005,,1.0,194,15.0
K.Wright,Kendall Wright,WR,78.99298095703125,8,9.874122619628906,"MIN,PIT,PHI,GB,CLE,GB,SF,DET",,,,,,,195,
A.Barner,A.J. Barner,TE,78.7030128479004,8,10.930974006652832,"LA,TEN,MIN,ATL,IND,LA,CAR,SF",9.83787660598755,9.0,2025.0,12.1,Questionable,0.9,196,16.0
Q.Judkins,Quinshon Judkins,RB,78.59687805175781,8,9.824609756469727,"BAL,LV,SF,TEN,CHI,BUF,PIT,CIN",9.824609756469727,8.0,2025.0,14.6,,1.0,197,24.0
H.Fannin,Harold Fannin,TE,78.59213333129883,8,10.915574073791504,"BAL,LV,SF,TEN,CHI,BUF,PIT,CIN",9.824016666412353,8.0,2025.0,11.333333333333334,Questionable,0.9,198,17.0
M.Brown,Marquise Brown,WR,78.15164184570312,8,9.76895523071289,"DEN,IND,DAL,HOU,LAC,TEN,DEN,LV",9.76895523071289,9.0,2025.0,9.966666666666669,,1.0,199,38.0
C.Meredith,Cameron Meredith,WR,78.06249237060547,8,9.757811546325684,"BYE,ATL,MIA,TB,CAR,NYJ,TEN,ATL",,,,,,,200,
T.Kelce,Travis Kelce,TE,77.89823150634766,8,9.737278938293457,"DEN,IND,DAL,HOU,LAC,TEN,DEN,LV",9.737278938293457,9.0,2025.0,14.699999999999998,,1.0,201,18.0
M.McCrane,M.McCrane,K,77.88729095458984,8,9.73591136932373,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,202,
P.Garcon,Pierre Garcon,WR,77.54851531982422,8,9.693564414978027,"ARI,CAR,CLE,BYE,TEN,IND,CHI,SEA",,,,,,,203,
B.McManus,B.McManus,K,77.49799346923828,8,9.687249183654785,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",9.687249183654785,9.0,2025.0,7.666666666666667,,1.0,204,5.0
D.Martin,Doug Martin,RB,77.4100570678711,8,9.676257133483887,"DAL,CLE,LAC,DEN,PHI,HOU,NYG,KC",,,,,,,205,
C.Shudak,C.Shudak,K,77.2422103881836,8,9.65527629852295,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,206,
M.Wilson,Michael Wilson,WR,77.19525909423828,8,9.649407386779785,"SF,JAX,TB,LA,HOU,ATL,CIN,LA",,,,,,,207,
C.Sutton,Courtland Sutton,WR,77.04985046386719,8,9.631231307983398,"KC,BYE,WAS,LV,GB,JAX,KC,LAC",9.631231307983398,9.0,2025.0,9.366666666666664,,1.0,208,39.0
G.Zuerlein,G.Zuerlein,K,76.59760284423828,8,9.574700355529785,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,209,
T.King,Tavarres King,WR,76.44825744628906,8,9.556032180786133,"GB,DET,NE,BYE,WAS,MIN,LV,DAL",,,,,,,210,
S.Shrader,S.Shrader,K,75.8451919555664,8,9.4806489944458,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,211,
A.Cooper,Amari Cooper,WR,75.75926971435547,8,9.469908714294434,"TB,HOU,PIT,CIN,NE,CLE,PHI,NYJ",,,,,,,212,
J.O'Shaughnessy,James O'Shaughnessy,TE,75.7083740234375,8,9.463546752929688,"LAC,ARI,TEN,IND,NYJ,DEN,IND,TEN",,,,,,,213,
W.Levis,Will Levis,QB,75.53826141357422,8,9.442282676696777,"HOU,SEA,JAX,CLE,SF,KC,NO,JAX",,,,,,,214,
S.Bradford,Sam Bradford,QB,75.380615234375,8,9.422576904296875,"SF,JAX,TB,LA,HOU,ATL,CIN,LA",,,,,,,215,
C.Ivory,Chris Ivory,RB,75.11243438720703,8,9.389054298400879,"TB,HOU,PIT,CIN,NE,CLE,PHI,NYJ",,,,,,,216,
C.Hubbard,Chuba Hubbard,RB,75.0879898071289,8,9.385998725891113,"ATL,SF,LA,BYE,NO,TB,SEA,TB",9.385998725891113,9.0,2025.0,8.93333333333333,,1.0,217,25.0
A.O'Connell,Aidan O'Connell,QB,74.74177551269531,8,9.342721939086914,"DAL,CLE,LAC,DEN,PHI,HOU,NYG,KC",,,,,,,218,
C.Ridley,Calvin Ridley,WR,74.63878631591797,8,9.329848289489746,"HOU,SEA,JAX,CLE,SF,KC,NO,JAX",,,,,,,219,
J.McLaughlin,Jaleel McLaughlin,RB,73.95012664794922,8,9.243765830993652,"KC,BYE,WAS,LV,GB,JAX,KC,LAC",,,,,,,220,
